name,version,dependency_count
drt-wrewa-swap-sc,0.0.3,18.0
drteeth,0.2.1,132.0
plain_path,0.1.0,27.0
plain_trie,7.2.4,0.0
plainjson,0.1.2,4.0
plaintalk,0.0.15,6.0
plaintext,0.27.1,85.0
plaixt,0.0.0,0.0
plaixt-core,0.0.0,0.0
plamo,0.3.0,0.0
plan,1.0.1,46.0
plan9,0.1.1,27.0
plan9_asm,0.4.3,0.0
plan9whack,0.1.0,0.0
planar,0.1.2,0.0
planc,0.0.0,0.0
planc-common,0.0.0,0.0
planc-frontend,0.0.0,0.0
planc-protocol,0.0.0,0.0
planck_ecs,1.2.1,8.0
planck_ecs_bundle,1.1.0,3.0
planck_game_features,0.1.0,32.0
flexer,0.0.0,
flexflow,0.1.0,0.0
flexflow-core,0.1.1,0.0
flexflow-server,0.1.1,1.0
flexgen,0.4.5,25.0
flexgrid,0.1.1,0.0
flexi-parse,0.10.0,6.0
flexi_config,0.1.0,21.0
flexi_func,0.2.7,5.0
flexi_func_declarative,0.2.7,0.0
flexi_logger,0.29.8,9.0
flexi_logger_datadog,0.1.3,97.0
flexi_logger_rotate_writer,0.0.0,10.0
flexi_syslog,0.5.3,29.0
flexiber,0.1.3,8.0
flexiber_derive,0.1.3,5.0
flexible-hyper-server-tls,0.6.0,46.0
flexible-io,0.4.0,0.0
flexible-locks,0.1.0,9.0
flexible-locks_derive,0.1.0,4.0
geohash-rs,0.1.3,0.0
geohash-tools,0.1.3,3.0
geohash_gps,0.1.0,0.0
geohasher,0.1.4,0.0
geohashing,0.1.0,3.0
geohashrust,0.0.2,0.0
geoint,0.1.0,32.0
geoip,0.0.14,4.0
geoip-api,0.7.1,154.0
geoip-cli,0.1.0,135.0
geoip-http,0.3.0,74.0
geoip-rs,0.6.1,104.0
geoip-sys,0.0.14,1.0
geoip2,0.1.7,5.0
geoip2-city,0.1.0,0.0
geoip2-codegen,0.1.5,4.0
geoiplocation,0.3.0,88.0
geoipsed,0.1.3,47.0
geojson,0.24.2,13.0
emscripten-functions-sys,5.0.401,0.0
emscripten-sys,0.3.2,0.0
emscripten-val,0.1.7,1.0
emscripten-val-sys,0.1.7,0.0
