Crate Name,Severity Label
eyre-0.6.11,LOW_SEVERITY
tree_magic-0.2.3,MEDIUM_SEVERITY
oqs-0.7.1,MEDIUM_SEVERITY
cgc-0.4.0,HIGH_SEVERITY
plutonium-0.5.2,MEDIUM_SEVERITY
git-delta-0.8.2,UNKNOWN
nats-0.24.0,UNKNOWN
failure-0.1.8,LOW_SEVERITY
may_queue-0.1.7,LOW_SEVERITY
ansi_term-0.12.1,SAFE
prost-0.6.0,LOW_SEVERITY
