name,rustsec_label,advisory_type
libusb,UNCATEGORIZED,INFOUNMAINTAINED
plutonium,UNCATEGORIZED,INFONOTICE
crust,UNCATEGORIZED,INFOUNMAINTAINED
quickersort,UNCATEGORIZED,INFOUNMAINTAINED
stb_truetype,UNCATEGORIZED,INFOUNMAINTAINED
term,UNCATEGORIZED,INFOUNMAINTAINED
chan,UNCATEGORIZED,INFOUNMAINTAINED
smallvec,UNCATEGORIZED,INFOUNSOUND
block-cipher-trait,UNCATEGORIZED,INFOUNMAINTAINED
rust-crypto,UNCATEGORIZED,INFOUNMAINTAINED
cassandra,UNCATEGORIZED,INFOUNMAINTAINED
rust_sodium,UNCATEGORIZED,INFOUNMAINTAINED
tempdir,UNCATEGORIZED,INFOUNMAINTAINED
lz4-compress,UNCATEGORIZED,INFOUNMAINTAINED
gix-worktree-state,UNCATEGORIZED,VULNERABILITY
zlib-rs,UNCATEGORIZED,VULNERABILITY
ic-stable-structures,UNCATEGORIZED,VULNERABILITY
gix-path,UNCATEGORIZED,VULNERABILITY
gix-path,UNCATEGORIZED,VULNERABILITY
gix-worktree,UNCATEGORIZED,VULNERABILITY
gix-index,UNCATEGORIZED,VULNERABILITY
gix-ref,UNCATEGORIZED,VULNERABILITY
vmm-sys-util,UNCATEGORIZED,INFOUNSOUND
rsa,UNCATEGORIZED,VULNERABILITY
cocoon,UNCATEGORIZED,VULNERABILITY
pleaser,UNCATEGORIZED,VULNERABILITY
versionize,UNCATEGORIZED,VULNERABILITY
pnet_packet,UNCATEGORIZED,VULNERABILITY
aliyun-oss-client,UNCATEGORIZED,VULNERABILITY
tauri,UNCATEGORIZED,VULNERABILITY
kamadak-exif,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
totp-rs,UNCATEGORIZED,VULNERABILITY
wasmtime,UNCATEGORIZED,VULNERABILITY
libsecp256k1-rs,UNCATEGORIZED,VULNERABILITY
hyper,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
max7301,UNCATEGORIZED,VULNERABILITY
disrustor,UNCATEGORIZED,VULNERABILITY
appendix,UNCATEGORIZED,VULNERABILITY
generator,UNCATEGORIZED,VULNERABILITY
cgc,UNCATEGORIZED,VULNERABILITY
comrak,UNCATEGORIZED,VULNERABILITY
qwutils,UNCATEGORIZED,VULNERABILITY
va-ts,UNCATEGORIZED,VULNERABILITY
eventio,UNCATEGORIZED,VULNERABILITY
multiqueue2,UNCATEGORIZED,INFOUNSOUND
buttplug,UNCATEGORIZED,VULNERABILITY
may_queue,UNCATEGORIZED,VULNERABILITY
atomic-option,UNCATEGORIZED,VULNERABILITY
lazy-init,UNCATEGORIZED,VULNERABILITY
xcb,UNCATEGORIZED,INFOUNSOUND
im,UNCATEGORIZED,INFOUNSOUND
reffers,UNCATEGORIZED,INFOUNSOUND
mdbook,UNCATEGORIZED,VULNERABILITY
concread,UNCATEGORIZED,INFOUNSOUND
nanorand,UNCATEGORIZED,VULNERABILITY
thex,UNCATEGORIZED,VULNERABILITY
try-mutex,UNCATEGORIZED,VULNERABILITY
magnetic,UNCATEGORIZED,VULNERABILITY
ordered-float,UNCATEGORIZED,VULNERABILITY
socket2,UNCATEGORIZED,INFOUNSOUND
net2,UNCATEGORIZED,INFOUNSOUND
mio,UNCATEGORIZED,INFOUNSOUND
miow,UNCATEGORIZED,INFOUNSOUND
branca,UNCATEGORIZED,VULNERABILITY
pyo3,UNCATEGORIZED,VULNERABILITY
image,UNCATEGORIZED,INFOUNSOUND
time,UNCATEGORIZED,VULNERABILITY
futures-intrusive,UNCATEGORIZED,INFOUNSOUND
lettre,UNCATEGORIZED,VULNERABILITY
futures-task,UNCATEGORIZED,VULNERABILITY
futures-util,UNCATEGORIZED,VULNERABILITY
futures-util,UNCATEGORIZED,VULNERABILITY
libpulse-binding,UNCATEGORIZED,VULNERABILITY
portaudio,UNCATEGORIZED,VULNERABILITY
claxon,UNCATEGORIZED,VULNERABILITY
dync,UNCATEGORIZED,INFOUNSOUND
security-framework,UNCATEGORIZED,VULNERABILITY
array-queue,UNCATEGORIZED,VULNERABILITY
tiny_http,UNCATEGORIZED,VULNERABILITY
actix-service,UNCATEGORIZED,INFOUNSOUND
